#STEM=missing_fw_configs
#VERSION=v20260715
#SOURCE=fw-inv-3-26.csv (748 devices) cross-referenced against fw_config_manifest_v20260715.csv (940 files / 703-device estate)
#ROWS=292
#NOTE=Matching is hostname-based (exact + substring, domain-suffix stripped). Devices with blank hostname in inventory were skipped, not counted as missing.
hostname,ip,vendor,model,tenant,category,status,decommission_status,manager,gap_reason
eclawseast-DR-shubingress-ftd-03,10.174.128.21,cisco,Cisco Firepower Threat Defense for AWS,PCI Cloud,Virtual,TRUE,,rriwsdcseccldfmc-02.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
eclawseast-DR-shubingress-ftd-04,10.174.128.25,cisco,Cisco Firepower Threat Defense for AWS,PCI Cloud,Virtual,TRUE,,rriwsdcseccldfmc-02.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
eclawseast-shubegress-ftd-01,10.174.16.4,cisco,Cisco Firepower Threat Defense for AWS,PCI Cloud,Virtual,TRUE,,rriwsdcseccldfmc-02.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
eclawseast-shubegress-ftd-02,10.174.16.7,cisco,Cisco Firepower Threat Defense for AWS,PCI Cloud,Virtual,TRUE,,rriwsdcseccldfmc-02.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
eclawseast-shubegress-ftd-03,10.174.16.132,cisco,Cisco Firepower Threat Defense for AWS,PCI Cloud,Virtual,TRUE,,rriwsdcseccldfmc-02.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
eclawseast-shubegress-ftd-04,10.174.16.135,cisco,Cisco Firepower Threat Defense for AWS,PCI Cloud,Virtual,TRUE,,rriwsdcseccldfmc-02.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
eclawseast-shubingress-ftd-01,10.174.0.4,cisco,Cisco Firepower Threat Defense for AWS,PCI Cloud,Virtual,TRUE,,rriwsdcseccldfmc-02.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
eclawseast-shubingress-ftd-02,10.174.0.7,cisco,Cisco Firepower Threat Defense for AWS,PCI Cloud,Virtual,TRUE,,rriwsdcseccldfmc-02.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
eclawseast-shubingress-ftd-03,10.174.0.132,cisco,Cisco Firepower Threat Defense for AWS,PCI Cloud,Virtual,TRUE,,rriwsdcseccldfmc-02.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
eclawseast-shubingress-ftd-04,10.174.0.135,cisco,Cisco Firepower Threat Defense for AWS,PCI Cloud,Virtual,TRUE,,rriwsdcseccldfmc-02.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
egc-use4-pci-ftd-01-vm,10.117.68.10,cisco,Cisco Firepower Threat Defense for GCP,PCI,Physical,TRUE,,rricmdc-sec-mgt-prd-pci-01.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
egc-use4-teraprod-ftd-01,10.73.64.39,cisco,Cisco Firepower Threat Defense for GCP,PCI Cloud,Physical,TRUE,,rriwsdcseccldfmc-02.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
egc-use4-teraprod-ftd-02,10.73.64.40,cisco,Cisco Firepower Threat Defense for GCP,PCI Cloud,Physical,TRUE,,rriwsdcseccldfmc-02.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
egc-use4-teraprod-ftd-03,10.73.64.45,cisco,Cisco Firepower Threat Defense for GCP,PCI Cloud,Physical,TRUE,,rriwsdcseccldfmc-02.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
egc-use4-ztna-nonprod-01,10.143.67.98,cisco,Cisco Firepower Threat Defense for GCP,Dev,Physical,TRUE,,rricmdcsecfmcnonprod-01.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
egc-use4-ztna-nonprod-02,10.143.67.99,cisco,Cisco Firepower Threat Defense for GCP,Dev,Physical,TRUE,,rricmdcsecfmcnonprod-01.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
egc-use4-ztna-nonprod-03,10.143.67.100,cisco,Cisco Firepower Threat Defense for GCP,Dev,Physical,TRUE,,rricmdcsecfmcnonprod-01.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
egc-use4-ztna-nonprod-04,10.143.67.101,cisco,Cisco Firepower Threat Defense for GCP,Dev,Physical,TRUE,,rricmdcsecfmcnonprod-01.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
egc-use4-ztna-nonprod-05,10.143.67.102,cisco,Cisco Firepower Threat Defense for GCP,Dev,Physical,TRUE,,rricmdcsecfmcnonprod-01.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
egc-use4-ztna-nonprod-06,10.143.67.103,cisco,Cisco Firepower Threat Defense for GCP,Dev,Physical,TRUE,,rricmdcsecfmcnonprod-01.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
egc-use4-ztna-prod-01,10.158.21.233,cisco,Cisco Firepower Threat Defense for GCP,PCI Cloud,Physical,TRUE,,rriwsdcseccldfmc-02.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
egc-use4-ztna-prod-02,10.158.21.236,cisco,Cisco Firepower Threat Defense for GCP,PCI Cloud,Physical,TRUE,,rriwsdcseccldfmc-02.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
egc-use4-ztna-prod-03,10.158.21.229,cisco,Cisco Firepower Threat Defense for GCP,PCI Cloud,Physical,TRUE,,rriwsdcseccldfmc-02.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
egc-use4-ztna-prod-04,10.158.21.230,cisco,Cisco Firepower Threat Defense for GCP,PCI Cloud,Physical,TRUE,,rriwsdcseccldfmc-02.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
egc-use4-ztna-prod-05,10.158.21.231,cisco,Cisco Firepower Threat Defense for GCP,PCI Cloud,Physical,TRUE,,rriwsdcseccldfmc-02.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
egc-use4-ztna-prod-06,10.158.21.232,cisco,Cisco Firepower Threat Defense for GCP,PCI Cloud,Physical,TRUE,,rriwsdcseccldfmc-02.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
egc-usw2-pci-ftd-01-vm,10.117.100.12,cisco,Cisco Firepower Threat Defense for GCP,PCI,Physical,TRUE,,rricmdc-sec-mgt-prd-pci-01.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
egc-usw2-teraprod-ftd-01,10.73.65.34,cisco,Cisco Firepower Threat Defense for GCP,PCI Cloud,Physical,TRUE,,rriwsdcseccldfmc-02.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
